type	text
네이버	맨발의 기봉이와 7번방의 선물은 장애인을 웃음거리로 만들었고, 그것만이 내세상은 길거리에 볼일보는 민폐 사람으로 그려졌다. 하지만 이 영화는 앞 망작들과 달리 장애인과 함께 소통하거나 친해질 수 있다는 메세지가 있다...
네이버	초원이가 다음해에 화투 칠줄 몰랐지
네이버	모든 장면들이 다 의미있다...한장면 한장면 문학을 읽는 것 같았던 영화...다시 한국에서 이런 영화를 볼 수 있을까?
네이버	인생영화 ost도 너무 좋다 ㅠㅠ
네이버	이 영화는 조승우가 최고다 그냥
네이버	요즘은 이런 잔잔하면서도 깊은울림을 주는 한국영화가 없는듯.. 무지막지하게 울어!!!울으라고!!!만 외치면서 억지스러운 신파감성 끼워넣는것보다 이런영화가 훨씬 관객한테 깊은 감동과 여운을 남겨준다는 것을 좀 감독들이...
네이버	극장에서 보고 오늘 오랜만에 다시 보는데 여전히 넘 좋아요ㅠ조승우 연기 진짜 대단해요..
네이버	다시봐도 최고의 영화.조승우는 진짜 연기의 신
네이버	와 오랜만에 TV에서 하길래 봤는데 또 울컥했네...
네이버	조승우 대단하다 그리고 묵묵히 옆에서 그 연기를 빛나게 해주는 김미숙, 이기영님의 연기가 정말 감동적이다
네이버	조승우의 소름돋을 정도로 완벽한 연기.
네이버	정말 명작...조승우 괴물임
네이버	조승우 연기 쩌러용 진짜 자폐아인줄 ㅋㅋㅋ
네이버	조승우 연기 진짜 잘한다...
네이버	조승우는 정말 못하는게 하나도 없는 배우!!! 대단하고 재밌게 잘 봤다
네이버	진짜연기짱임신들림♥
네이버	말이 필요없다 진짜 너무 연기잘한다 어떻게 어떻게!!! 정말 명품연기
네이버	재밌게 잘 봤습니다 ㅜ.ㅜ
네이버	또보고싶네요
네이버	포스터만봐도 마음이 찡 조승우의 연기는 이때부터 빛나요
네이버	아이고 슬퍼. 눈물의향연ㅋㅋ 조승우는 예나지금이나 연기를 너무잘하네. 후반부 달릴때는 정말 폭풍눈물이었다. 진정한 가족영화.
네이버	비가 주룩주룩 내려요 짱임
네이버	백만불 짜리 연기와 백만불 짜리 영화
네이버	조승우 연기가 보고싶어서..다시 다운받아 본 영화.. 조승우 때문에 더욱 더 빛난 영화.. 배우하기 위해 태어난듯..
네이버	조승우 분명 장애가 없는걸 아는데 영화 보면서 순간 조승우 장애가 있었나..? 라고 생각했다ㅋㅋㅋㅋ 진심 연기 캐잘해ㅠㅠ 감동과 웃음까지....완전 최고
네이버	이때 조승우 나이 26...  명불허전이다 정말.
네이버	조승우~♡♡♡감동입니다보는내내 너무귀엽고 짠하고 눈물나고 마음아프고....자폐  연기  아니라 자폐같아서  계속놀람...  연기....너무잘한다..최고다....
네이버	극장에서 본지가 엊그제 같은데 벌써 11년이란 세월이 흘렀구나 개봉당시 조승우의 연기가 갑이었지 진짜 바보인가? 라고 착각을 했었으니까 하지만 더 이상한건 전체 관람가 인데도 불구하고 전혀 지루하지 않고 몰입이 잘 ...
네이버	조승우 사랑해ㅠㅠ초원이 다리는? 백만불짜리 다리! 초원이 몸매는? 끝내줘요!
네이버	조승우 .... 진짜 좋아하는 배우 중에 한명 지적장애 가진 부모들은 조승우 모습을 보면서 우리 아이도 뭔가 할수 있는 게 있을거야 라고 믿음 준 영화이다. 초원이는 달리는 게 좋은 게 아니라 행복하더고 느끼는 순수...
네이버	정말 잘 만들었다. 무조건 때려부숴야지만 재밌는 영화가 아니다. 억지감동 억지웃음이 하나도 없었다. 어느 한 부분이 아니라 영화 전체가 울림을 주는 영화 스토리 정말 잘 만들었다.
네이버	조승우란배우정말매력있다천의얼굴
네이버	내가 6살쯤나온걸 지금 보는뎈ㅋ진짜 감동적이고 재밌다! 진짜 재미있는부분도 많이나오고bb그와중에 조승우는또멋있고...장애인연기도 멋있게하시넼ㅋ
네이버	재미+감동+조승우
네이버	몇 번을 봐도 좋다. 조승우의 연기도 훌륭하지만 그것을 받쳐주는 김미숙님의 연기도 너무 훌륭하다. 행동하나 표정하나 정말 디테일하다.  거기다 음악까지 너무 좋은.  더 이상 뭘 바라겠는가 ! 최고 !
네이버	조승우보려고 봤다가 조승우는 없고 초원이만 있었다...연기갑이다진짜
네이버	초원이의 춘천 마라톤에서, 초코파이를 버리는 장면을 비롯해 사람들과 하이파이브를 하고 또 수영장 지하철역을 달리는 상상을 하는 장면은 정말 영알못인 저도 영화가 말하고자 하는 바를 명확히 파악할 수 있었던 장면이었습...
네이버	어렸을때 봤는지 안봤는지 기억이 안 났었는데 초원이가 자두 먹는 장면을 보니 딱 그 장면이 기억나더라. 성인 되고 보니 영화가 정말 훌륭함. 연출이 완벽하고  모든 배우들이 연기를 정말 잘했는데 특히 조승우의 연기가...
네이버	조승우연기완전존경합니다.사람들이왜조승우조승우하는지알것같은영화예요!
네이버	백만불짜리연기
네이버	하 이영화개봉해서 극장에서 볼때  정신질환인 강박증이 발병하여 아직까지 괴로워 하고있습니다 같은장애는 아니지만 정신장애나 신체장애 주변인들과 본인의 괴로움 또  좋아하는것에 열정을 아주 잘표현 한것 같은 영화입니다 ...
네이버	조승우는 확실히 미친 배우다. 이 정도의 연기 스펙트럼을 가진 배우가 대체 어디 있단 말인가
