,nickname,text,score,like,dislike,time,watch_movie
358,김혁민(grip****),몇번을 봐도 여운이 남고. 볼때마다 새롭다.나였으면? 내가 츠네오였으면?난 애초에 시작하지 않았겠지..,10,1,0,2018-08-26 10:48:00,0
359,방울이(saks****),현실적이어서 더 좋았음,10,1,0,2018-08-12 01:05:00,0
360,ㅇㅎㅇㅎㄷㅇ(wons****),제목까지 완벽한 영화!호랑이때문에 그 남자에게 안길 수 있었고 사랑했기 때문에 세상밖으로 헤엄쳐 나올수 있었던 조제!새드엔딩 같았지만 해피엔딩 이었다.,10,1,0,2018-08-10 21:45:00,0
361,거더자(yong****),완벽한 영화. 일반적인 사랑 이야기이다. 특별하지도 유별나지도 않은. 우리들이 사랑하고 이별하는 그런 영화.,10,1,0,2018-08-07 01:03:00,0
362,푸른우표(wjdd****),호랑이 같은 무서움도 삶의 무게도 그 무엇도 극복할 수 있는 사랑을 할 수 있을까,8,1,0,2018-08-05 18:37:00,0
363,alps****,사랑은 순수하므로 이기적이다.,9,1,0,2018-07-31 02:46:00,0
364,보거(puff****),담백한 이별. 사랑하니 가능한건가.,7,1,0,2018-07-26 16:21:00,0
365,신재원(jwsh****),먹먹하다. 여운이 남는 영화,10,1,0,2018-07-01 18:18:00,0
366,황주희(ghkd****),모든 걸 다시금 깨닫게 해주는 영화10점이 만점이라는게 아쉽다.,10,1,0,2018-06-30 22:30:00,0
367,모순나선(vytj****),"현실과 이상의 괴리, 그 공허함과 미련을 담담한 시선으로 풀어낸다. 그 담담함이 참을 수 없을정도로 가슴 시리다.",10,1,0,2018-06-20 21:09:00,0
368,UNCHARTED(hans****),조제가 왜 물고기에 집착하는지 그이유를 알겠다....  물고기는 넓은 바다에 혼자 살아가야하니까.,10,1,0,2018-06-10 16:25:00,0
369,천명(sueb****),장애인이든 비장애인이든 우리는 똑같이 사랑을 하고 있다,8,1,0,2018-05-26 22:51:00,0
370,ㅋㅋㅋㅋ(yeon****),가장 평범한 사람들의 가장 평범한 사랑 이야기,10,1,0,2018-05-19 11:47:00,0
371,한얼(devi****),조제 목소리 뭔가 매력있고 좋았다 조제 할머니가 돌아가셨다고 츠네오가 공장견학하는 도중 듣게 되고 오토바이 타고 오는데 흰연기가 막나오더라. 최대 속도로 달렸다는것이다.  이때 츠네오의 감정이 마음속에 그대로 느껴졌...,10,1,0,2018-05-19 02:15:00,0
372,정민정(jmg9****),"이별을 할 때 가장 슬펐던 이유, 다시는 그 사람을 보지 못한다는 것.",10,1,0,2018-04-07 16:24:00,0
373,bono(takh****),사랑이 성숙해가는 과정을,10,1,0,2018-02-04 02:42:00,0
374,yusa****,우으아아아아 진짜 볼때마다 너무 너무 감동적이디아요,10,1,0,2018-01-17 20:42:00,0
