type	text
네이버	장난아니네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
네이버	무한감동..정말 슬프네요 ㅠㅠ
네이버	뻔한 스토리 속에 약간의 감동. 재밌게 봤습니다.
네이버	존나 잼있다
네이버	이것을보고알았습니다 동료들을믿어야된다는것을 충주성심고등학교 파이팅!!!!
네이버	감동도 있지만 열정을 다시 일깨워준다...
네이버	good
네이버	이거아빠랑보고5번이나울었어요..넘감동적이예요...
네이버	재밌어요
네이버	마지막에 경기 했을때가 good!!
네이버	정말 최고다
네이버	노력하면 안되는게 없다는 가설을 증명해준영화.
네이버	감동을 원하시는분 YES, 재미를 원하시는 분 NO
네이버	저이거개봉할때봣음 너무감도유ㅠㅠ
네이버	아...젠장...혼자 컴터로 보다가 울었다...
네이버	재밌고 감동적이었다. 값진 노력과 값진 도전을 오랜만에 볼수있어 좋았다.
네이버	진짜 야구영화중에 탑
네이버	야구영화는 다 좋아요.
네이버	청각장애인이라고 ㅄ같이 편견은 갖지 맙시다
네이버	진짜 잼있고 감동감동.........ㅠㅠㅠㅠㅠㅠ 이렇게 잼있게 본 영화에요!!!
네이버	갠적으론 투혼보다 훨 나아요.뻔한 결말이라고 평가절하 마세요~찐한 감동,눈물...
네이버	재밋고 감동적이에여
네이버	자꾸 눈물이 날려고 하는 감동적인 영화입니다. 추천합니다!
네이버	운동하는사람들에게는 공감이 큰 영화!
네이버	내가본영화중에 이영화추천합니다후회않할듯합니다보고 눈물이 나는대 ㅜㅜ
네이버	정말 감동적이고 정말 괜찮은영화!!
네이버	좋아요
네이버	완전 재밌고 감동적입니다!!><
네이버	내가 본 두번째 야구영화 감동이 있었다. 정재영의 연기가 일품.
네이버	좀 감동먹었네ㅋㅋㅋㅋㅋㅋ 괜찮은것 같당ㅇㅇ
네이버	재미 있다
네이버	우왕 굿ㅋ
네이버	굳으
네이버	너무 재밌어요♥
네이버	눈에 보이는게 다가 아닌영화..
네이버	너무 감성적으로.. 야구 이야기는 남는게 없고 단지 감동만으로?? 글쎄...
네이버	슬펐습니다.   실화라니.....믿기지않내요.  (재미있엇습니다.)감독님께
네이버	지루하지 않고 재미있게 잘 보았습니다.
네이버	재밌다..
네이버	왜 이런영화를 지금에야 봤는지...대박!!!
네이버	다소 긴 러닝타임동안 지루하지 않게 밀려오는 감동..
네이버	감동적입니다. !!그리고 재밋습니닼ㅋ
네이버	정말 감동적이면서 재미있었습니다. 니미뽕? ㅋㅋ
네이버	재미있습니다.
네이버	아이들이 감동적
네이버	전형적인 전개라도 눈물나게만드는 스토리
네이버	굳굳굳 굳굳굳 굳굳굳
네이버	감동적이고 짜임이 좋아여 10점드림
네이버	강추!야구부다잘생기고 스토리가ㅠㅠ정재영짱! 마지막이좀아쉬어서영쩜오점뺏어요ㅎㅎ
네이버	정말 감동적이에요~
네이버	강추영화! 감동쩔어~!
네이버	울뻔 했습니다 정말 감동적이고 또 재미있습니다
네이버	감동받음.
네이버	오랫만에 한국영화보면서 눈물콧물 다 짰네요ㅠ 처음으로 이런것도 써보고..그냥 가슴찡한...
네이버	극장에서볼걸 대박 ㅠㅠ
네이버	말이 필요 없음 보고 느끼세요. 그것이 이영화의 묘미 입니다.
네이버	개 돼지 취급받는 이들을 위한 영화! 감동적임!
네이버	살짝 감동받았습니다. 그리고 명대사 니미 뽕이다.
네이버	감동~~!!!
네이버	기대안하고 봤는데 헐~~~~~ 대~! 박~!! 감동 쩌넹~~~~!
네이버	꽤 감동적이게 만듬
네이버	정말 애들 다 꿇엇을데 울엇음 ㅠㅠ
네이버	정말 눈물겨운 영화... 큰 교훈을 준 영화... 가족과 함께 보면 좋은 깨끗한 영화...
네이버	과잉없이 술술 넘어가는 휴먼스포츠드라마.
네이버	눈물 꾹 참고 보느냐고 힘들었어요! 무한감동입니다. !
네이버	진짜 감동적이다..
네이버	정말 오랜만에 감동의 눈물이 흐르게 만들어준 영화...
네이버	야구를 몰라도 감동을 느낄수있음!
네이버	투수의 손을보고 무한한 감동을 느꼈다..ㅜㅜ
네이버	야구를 몰라서 쫌 그랬지만 감동이였다
네이버	그냥 정말 재밌음 별생각 없이 보다 감동적이고 재밌네 라는 생각하고 글남김
네이버	감동적임
네이버	안에있는 눈물 다 흘려버렸서 ㅜㅜㅜ
네이버	짱ㅠㅠㅠ!!!
네이버	눈물이란눈물은 다 짜냈다
네이버	잼다
네이버	여태 이런영화보면 눈물만 글썽거렸는데 진짜로 눈물이나왔내요
네이버	감동을느끼기엔 너무 늙어버렸어 ㅜㅜ 킹콩을들다가정말 찡했는데 ㅜㅜ
네이버	눈물 좀 흘렸네요?참좋은영화
네이버	아 정말 감동적으루 잘 봣네요...눈물도 나고
네이버	너무감동적 ㅣ에요
네이버	짱짱 마지막에 끝내기 보크 감동 ㅠㅠ 흙 뿌린놈 가서 죽이고 싶었음 ㅋㅋ
네이버	짱
네이버	너무재밌었어요 ㅠㅜ 감동도있고 재미도있고 ㅎㅎ신랑이랑 잼나게 봤습니당ㅋ
네이버	충주 성심고등학교의 1승을 위해.
네이버	이런 영화 그만 만들때 안됐나?
네이버	전개와 결말이 뻔히보이는 스토리이지만, 누구나 좋아할 영화
네이버	분명 진부한데 마음에 와 닿는 뭔가가 있더라.
네이버	재밌고 감동도 있었어요 ㅎㅎ
네이버	눈물난다 진짜
네이버	감동이에요ㅡㅜ울엇음
네이버	재밌게 잘 봤습니다^^
네이버	정재영이 제일 멋있더라
네이버	그저 그런 전형적인 직구영화, 멋있는 정재영, 그 외에는 이렇다 할 감흥이 없었다..
네이버	몇번을 봐도 질리지 않을 최고의영화!
네이버	감동을 주는 영화네요!
네이버	재미있었어요~ㅠㅠ
네이버	간만에 가슴 뭉클한 영화였습니다. 눈물 콧물 다흘리면서 봤네요^^ 정말 잘싸워줬다
네이버	완전 감동입니다!
네이버	마음이 뭉클해지는 영화 !! 정말 재밌었다.
네이버	재미도 있고 감동도 있었다.
네이버	다시 봐도 재미있는 영화!
네이버	조건은 중요치 않타~어떻게 사느냐가 중요하지.. 인간승리다! 머찌네~
네이버	너무너무너무 감동적이구~! 재밌구~! 배우들도 벙어리연기 잘하는거같에요!!
네이버	뻔하지만 눈물 나는걸..
네이버	가슴따뜻해지는영화네요
네이버	와 진짜재밋내
네이버	정재영씨의 연기는 늘 좋습니다. 감동 많이 받았습니다.
네이버	감동적이고 가슴 따뜻해지는 영화네요^^ 요즘은 이런영화가 너무 좋다!! 강추!!
네이버	야구하는 강철중.. 직구만 던지는 한국형 디즈니 영화..
네이버	할러데이의 완봉보다 값진 진정성. 뻔하고 진부한 소재로 이루어낸 쾌거. G LOVE.
네이버	여느 스포츠영화와같은 그저그런 스토리지만 감동과 배우들의 연기가 일품 눈물 쏙뺌
네이버	이거 밤에 보다 졸려 죽는 줄 알았네...;;;;
네이버	슬프기도 하고, 웃기기도 하지만 더욱더 감동" 충주 성심 고등학교" 파이팅!!!
네이버	너무너무 좋은 영화!
네이버	감동적이에여!! 아쉬운 점도 얼마 없고.. 재미있게 잘 봤습니다!!
네이버	시간이 어떻게 간지 모르겠는.. 순간순간이 감동 난 억지스럽지 않았어!
네이버	멋져요 ㅎㅎ
네이버	우왕~ 감동감동
네이버	뻔한 스토리라 해도 진정성이 느껴집니다ㅠ 감동이에요
네이버	재밌어요그리고감동도있구요ㅎ
네이버	너무 좋은 영화인것같아요
네이버	걍볼만한정도 감동도 약간있고요 근데 네티즌들 평점높게주시네요
네이버	뻔하지만, 그보다 큰 감동. 경쟁 이데올로기? 그럼 쿠바는 왜 야구하는데요?
네이버	초중딩애들이 보면 딱좋을영화. 뻔한스토리에 억지감동; 정재영연기때문에 5점!!
네이버	10점만점에10점
네이버	이런 풍경만으로도 아름답다.
네이버	넘 재밌게 봤어요!! 모든게 다 재미있요!!
네이버	훈훈한 영화..이병철 해설위원 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
네이버	진짜 감동적이고  볼만했음
네이버	간만의 영양가있는 영화~!
네이버	정재영이 상고아이들에게 한 말이 감동적이였다.
네이버	재밌고 감동적 역시 정재영 ㅠㅜ
네이버	아자아자 화이팅!
네이버	이 영화보고 감동받았습니다. 이영화를 추천합니다.
네이버	감동적
네이버	완젼 감동.. 뻔한 얘기라는거 알지만 배우와, 맨트가 눈물이..
네이버	재밋슴다
네이버	내용은 뻔한것인지 몰라두 넘 감동적이에요ㅠ
네이버	실제 주인공들에게 박수를 보내며, 영화적 감동은 그닥
네이버	정말.. 감동이네요.. 실화에.. 완전 감동.. 스토리짱.. 대박영화임!!
네이버	완전..대박..야구는 그리 좋아하지는 않지만.. 이 영화..이런 영화가 떠야하는데...
네이버	감동...눈물없인볼수없는영화 재미없다고? 니미뽕이다
네이버	영화정말 잘 만들었어요>< 감동ㅠㅠㄱㄱ
네이버	뻔하고 그저그런 영화일것 같았는데.. 지루하지 않고 괜찮았다..
네이버	멋지고 감동적임...
