type	text
네이버	아니 언니 그 옛날에 버건디메이크업을 일케 잘 소화해버리면 어떡하잔거야ㅠㅜㅠㅜ
네이버	이 영화를 30살이 넘어서야 처음으로 보게 되었다는게 다행으로 느껴집니다. 살인범을 첫 대면한 순간 머리칼을 잘라내는 연기와 그 눈빛은.. 정말이지 소름돋는 연출과 연기였습니다
네이버	복수는 나의것의이 없는 오락성까지 집어넣은 영화
네이버	기괴하고 아름다워요. 연출때문인지 끔찍한 장면인데도 만화 컷보는 느낌이었어요. 지금봐도 촌스러움이라곤 찾아볼 수가 없네요
네이버	와.. 2005년도 영화가 이렇게 세련되도 되는가 싶다.. 이영애도 연기 이렇게 잘하는줄 몰랐네.. 진짜 할말을 잃음
네이버	올드보이 다음으로 박찬욱영화중 잘만들었다 생각
네이버	올드보이보다는 내용이 좀 단순함..하지만 이영애라는 배우가 있었기에 영화가 빛을 발한것같다!!
네이버	이영화 진짜 대박인데 왜이렇게 평점낮음 ㅠ
네이버	최소한 8점 이상
네이버	박찬욱 감독 영화는 14년이 지난 지금 다시 봐도 음악이나 미술, 내용 여러면에서 전혀 꿀리지가 않고 촌스럽지도 않네요. 거장임
네이버	금자씨, 박쥐..처음볼땐 복잡한 디테일과 파격적연출때문에 찝찝하고 호불호가 나뉠수도 있다. 그러나 나중에 다시보게된다면 이렇게시나리오가 흥미진진할수가 없음. 10년대에 나온 박찬욱영화보다 00년대에 나온 박찬욱영화가...
네이버	파격적인 장면들이 맘에 들었다..구성의 완성이 아쉬웠지만
네이버	진짜 잔혹한 내용이지만 이상하게 아름답다 생각되는 영화다.... 전개방식이나 연출이나 뭔가 표현하는 거가.. 옛날 영화임에도 촌스럽긴 커녕 오히려 요즘 영화들보다 더 신선하고 세련됐다... 그래서 자꾸 보게된다......
네이버	이게 왜 7.47밖에 안되냐??? 10.47이어도 모자라다.소름돋는 장면이 한 두개가 아니지만 그중에서도 엔딩은 그저 최고라고밖에 할 말이 없다.
네이버	내가 성인임에 감사한 영화. 어릴 때 봤다면 중간중간에 나오는 자극적인 장면들로 인해 이 영화에 제대로 몰입하지 못했겠단 생각이 들었다. 그런 장면들에 익숙해지고 나서 본 지금은 그 부분들이 스토리 진행에 전혀 과함...
네이버	최고다....진짜이걸 이제야 보다니
네이버	와.. 박찬욱 감독 진짜.. 대단한거같다..모든면에서 너무 감각적임.. 디테일하나하나 모든게 완벽했음.평점이 낮은이유는 개봉당시의 우리나라 영화수준이 이걸 아직 받아들일 준비가 안되었던것같고..나역시도 그랬었던듯.....
네이버	복수 삼부작을 통틀어 한국 영화 중 최고다.. 너무 저평가된 영화.
네이버	평점올리러들어옴ㅋ 영화진짜잘만들었는데 평점왜이래
네이버	이게 어떻게 평점이 7점대지?ㅡㅡ 완벽한 10점
네이버	15년이지난 지금 봐도 명품이다...
네이버	너 나 잘하세요. .. . ‘
네이버	친절한 금자씨 내가 한때는 정말 좋아했었던 영화 오늘도 티비채널 돌리다 우연히 또 끝까지 보는 영화 10번은 본 거 같다
네이버	7번방, 극한직업 같은 삼류 영화들은 상영관 독점해서 몰아주고 ㅋㅋ 작품성 좀만 있으면 평점 깎아내리는 개돼지들의 안목에 감탄이 나온다.
네이버	10점이 아깝지 않은 영환데 평잠 왜이래! 이영애의 그 울면서 웃는 기괴하고 슬픈 표정이 가장 맘에 남는 영화
네이버	이게 평저이 어케 7.35 밖에 안돼지? 말도안됌. 왠만한 한국영화 씹어먹는 영화인데;;
네이버	지금봐도 촌스럽지 않은 영화
네이버	너무 세련됐다.. 이영애 연기가 미쳤다
네이버	잘만든영화 평점이 이해가 안되네
네이버	이게명작이지평점왜그래
네이버	이영애 씨의 연기력이 폭팔 합니다
네이버	몇번을 다시봐도 놀라운 명작
네이버	말로표현할 수 없이 아름답고 잔인하고 감명깊은 영화..
네이버	이영애의 잔혹한 아름다움
네이버	그때는 몰랐는데 다시 보니 미안해집니다 ..
네이버	너무 좋아요! 머릿속에 맴도네요
네이버	이런영화ㅡ처음이에여 너무 재미있어요 모성애와 복수극 박찬욱 감독님의.천재성이 독 보이는 영화입니다.
네이버	지금봐도 재밌고 연출이 너무 최고
네이버	정말 아름다운 영화.  그리고 눈을 뗄 수 없는 이영애 씨.
네이버	뭔 7점대야. 되도않는 평점이라 10
네이버	감히 내가 평점을 남길 수 있는가,,
네이버	박찬욱 영화 중 최고....
네이버	진짜 살인마들은 친절한금자씨처럼 유족앞에 두고 처단해야 한다
네이버	박찬욱감독 영화 다좋아...
네이버	지금봐도 너무 재미있다....
네이버	정말 소름돋는다..이런영화처음봄
네이버	신파에 찌든 한국영화계에서 이런 작품이 나왔다는 것 만으로도..
네이버	그래서 나는.. 금자씨를 좋아했다.
네이버	박찬욱 영화 중에 가장 좋아함
네이버	★★★★명작★★★★
네이버	이렇게 친절할수가..
네이버	우리 시대에 필요한 정의. 10년 전 영화인데 재평가 받아야 할 작품.
네이버	이상하고 우울하고 신기하고 씁쓸하고 불쾌하지만 재밌었다
네이버	진짜 살면서 죄 짓지 말자.
네이버	아직도눈치못채겠어요?
네이버	왜 이리 평점이 낮은지 모르겠다...
네이버	다시보니 더 완벽하다.
네이버	10년 넘어서봐도 수작
네이버	우리나라에 박찬욱이라는 감독이 있어서 다행
네이버	생각하게 만드는 영화. 이영애씨 이뻐요! ㅎㅎ
네이버	후에속죄해야하는걸알면서 짓는죄 얼마나아플까.. 슬프다ㅇ이영화..
네이버	12.01.17.아름다운 복수 3부작의 마지막.복수를 끝내고 자신들의 계좌 번호를 적어주던 이중적 인간들의 모습이 잊혀지질 않아.
네이버	나이 먹고 다시 보니 인생영화..
