,nickname,text,score,like,dislike,time,watch_movie
262,이수진(popo****),호불호가 갈리네요... 전 굉장히 재미없게봤어요 흥행했다고 해서 기대하고봤는데.. 중간에 나올뻔했어요 내용이 자꾸 끊기는느낌...,1,29,7,2017-03-16 01:06:00,0
263,zzoo****,재미는 없더라. 솔직히... 그저 무난한 뮤지컬일뿐. 평론가라는 이들 어디 대단한 영화 하나 나온것처럼 호들갑 떨던데 지들도 오버인건 속으로는 알겠지. 역겹다.특정영화에 나란히 줄서 물고빠는거.,1,30,8,2017-02-03 12:10:00,0
264,초코바(rusi****),우주로 날아가는 장면에서 내 영혼도 영화관밖으로 날아가버렸다,1,30,8,2017-01-25 20:12:00,0
265,이주희(gija****),구조는 느슨하고 전개도 재미없고 네티즌평보고 갔다가 급 실망...,1,30,8,2017-01-01 15:29:00,관람객
266,qwej****,네이버 평점보고 내가 미친넘인줄 알았다 내 인생 최악의 영화가 이런 평점이라니 충격이다,1,30,8,2016-12-23 19:51:00,0
267,촌놈(jo__****),재미없엉..ㅜㅜㅜㅜ,1,32,10,2016-12-25 21:44:00,관람객
268,soutely(penc****),생애처음으로 영화에 평점이란걸 달아본다스토리는 뻔하고(이건뭐그럴수밖에없다고생각)  감동이 전달되지않는다개연성도 전혀없고몰입이안되서 하품만난다왜 이걸 돈주고봐야하는지 이해가안간다왜이렇게 평이좋은지 알수없는영화이다,1,33,11,2016-12-21 17:44:00,0
269,pupu****,하도 재밌다고 주변에서 몇번이나 봤다길래 기대하고 봤는데;;  차라리 그냥 단순 로맨스 영화였다면 더 나았을지도;;;  여주인공 과한 클로즈업도 부담스럽고;;; 엠마왓슨이 안하길 잘한듯.... 오랫만에 뮤지컬 영화라...,1,34,12,2017-05-11 20:42:00,0
270,hope(qlal****),평점 댓글 사기꾼같다 나랑 내친구랑 너무 재미없어서 충격받았는데 5분만에집에가고싶어지던데....,1,37,15,2016-12-17 13:29:00,0
271,qudg****,안될영화입니다보지마세여,1,39,17,2017-01-02 00:36:00,관람객
272,세미뉴오(semi****),진심 최악의 영화..개연성도 없고 스토리는 굉장히 지루..계절하나하나 나올때마다 설마 겨울까지 가는건가 나를 공포로 떨게만듬.. 클리셰 덩어리의 끝장판;;;;,1,40,18,2016-12-26 17:22:00,0
273,원더풀베리(sh49****),실망 그자체 왜 평점이 높은지 솔직히 결말도 실망이고 0점 주고 싶네요 여자친구도 너무 재미 없다고 하네요.,1,41,19,2017-01-16 01:14:00,관람객
274,geelady(adoj****),건축학개론 이후로 역대급 ㅆㄴ캐릭,1,42,20,2017-03-04 23:26:00,관람객
275,주찬혁(cksg****),보는 내내 졸리고 별루..,2,48,26,2016-12-12 14:11:00,관람객
276,최근경(love****),기대 많이 했는데..영화보면서 오랜만에 졸았네요.제 취향은 아닙니다. 무슨 스토리인지 너무 정신없고 지루하고...제가 이상한건지...같이본 친구는 잼있다고 하더라구요.,1,24,3,2017-03-09 14:32:00,0
277,엘로이즈(hong****),"호불호가 매우 갈리는 영화.. 엄마는 영화같은 영화 한편 잘 봤다고 좋아하시고, 나는 두시간 내내 지루했다",6,26,5,2016-12-18 13:34:00,관람객
278,오윤희(jjjl****),보는내내넘지루했네요. .ㅡㅡ;;;눈물이없는거아닌데. .도대체어느포인트에서눈물이나는건지;;;,1,27,6,2017-01-20 21:06:00,0
279,dzod(govl****),이게 진짜로 그렇게 재밌어? 허...내가 OOO인건가,1,28,7,2017-02-08 23:20:00,0
280,채미니아빠(moa0****),노래만 나오고 재미도 없고 끝도 허무,1,28,7,2017-01-05 01:45:00,관람객
281,또로로(iris****),영화 도중 그냥 나갈까 생각한 첫 영화,1,29,8,2017-01-04 15:22:00,0
282,plus****,같은 노래의 반복. 그저 그런 스토리. 원스처럼 애잔한 감동도 없고 비긴어게인처럼 화이팅하는 분위기도 없고..물랑루즈 처럼 화려함도 없고..흥겨움도 없다. 그냥..마케팅의 승리인듯.,1,30,9,2017-02-03 14:31:00,0
283,메르시몰리(merc****),남녀 주인공의 매력 참신한 영상미  빼면갠적으로 노래도 별로고  지루해서참고보기  힘든영화 였습니다,1,31,10,2016-12-18 14:51:00,0
