,nickname,text,score,like,dislike,time,watch_movie
32,연흥부(siyo****),,8,0,0,2020-05-18 12:02:00,0
33,go16****,유선 ㅈㄴ이쁘네...,10,0,0,2020-01-18 21:06:00,0
34,일월교주(shaw****),감동적인 영화. 유선 이쁘넹~^^,9,0,0,2019-11-08 23:54:00,0
35,mone****,이런 영화 진부하지만 볼만한 감동이었다..유선 이뿌게 나오넹,7,0,0,2019-11-08 02:15:00,0
36,zes(zesp****),영화 너무 감동 감동 감동 감동 감동,10,0,0,2019-09-23 10:29:00,0
37,채경민(chmk****),보는 내내 순간순간 마음을 울컥하게해서 3번 눈물이 났습니다 감동적이에요ㅠ,10,0,0,2019-06-27 06:17:00,0
38,절대반지(rcan****),뻔하게 흘러가지만 스포츠만이 줄 수 있는 감동,5,0,0,2016-08-11 02:24:00,0
39,wkdt****,최고!!,10,0,0,2013-02-17 20:33:00,0
40,인테크인(sm5d****),감독의 능력과 배우의 연기가 대단하내요*^^* 굿~~~!,8,0,0,2013-01-24 02:53:00,0
41,mnog****,ㅋ,10,0,0,2012-12-28 15:10:00,0
42,ghwe****,너무재미있었요,10,0,0,2012-12-22 01:11:00,0
43,09ks****,고등학교야구의 현실적 표현으로 관객들을 울게만든 영화.,10,0,0,2012-12-16 01:54:00,0
44,개구리(irex****),억지로 감정을 쥐어짠다고  현학적으로 영화평 찌끄리는 것들이 많구나.하지만 흘러내리는 눈물은 어쩔수없다.,8,0,0,2012-12-07 05:48:00,0
45,bang****,너무 감명깊게 봤습니다.,10,0,0,2012-12-01 16:32:00,0
46,dpfl****,아.. 정말 명작이에요.. 이거 보면서 얼마나 울었는지...청각장애인 선수들이 보여주는 우정과 경기는 정말 최고입니다,10,0,0,2012-11-17 09:46:00,0
47,kms4****,감명깊게봤어요 충주성심학교여러분 힘내세요,9,0,0,2012-10-28 00:25:00,0
48,종자기(gomn****),3할을 원하느냐 30홈런을 원하느냐! 98숀헤어 만세!,10,0,0,2012-10-17 01:41:00,0
49,obth****,스포츠영화가 이젠............,8,0,0,2012-10-14 12:41:00,0
50,마우필립(dkal****),평범한야구속에 평범한스토리에있는 잔잔한감동..티비에서 무료로해주길래 시간떼울겸봤는데 중간의 쏠쏠한개그와 수화가 눈길을 끌더군요. 좋은영화 알게되어서 굉장히 기쁩니다.,9,0,0,2012-10-09 20:48:00,0
51,dhkd****,짱감동,10,0,0,2012-10-09 15:57:00,0
52,kdcr****,"중반부부터봤는데 워낙정재영이란배우를좋아하는지라..기대하고봤어요 역시나정재영님의익살스러움도 진지함도 모두보기좋았던것같네요 손발이오글거리는장면들, 결말을뻔히예측할수있었던영화였지만소재의특별함과감동들이주는것에견줄수가없었어요...",9,0,0,2012-10-08 07:30:00,0
53,elfy****,평범한 감동을 주는 영화. 마지막 야구 시합 장면에서 긴장과 이완이 먼가 부족했던...좋은 영화긴 하지만 다른 스포츠 영화들과 비교해봤을때 이 영화가 보여줄수 있는 건?,7,0,0,2012-10-04 23:18:00,0
54,yhee****,추석특집으로  티비로 봣는데 살짝 감동이있고 웃음도있고뻔한결말이 아니라 괜찮았다.,7,0,0,2012-10-03 22:30:00,0
55,dust****,야구를 좋아해서 그런지 뻔한 신파지만 나름 감동먹을 정도로 괜찮게 봤지만 남들에게 추천해줄 정도로 잘만든 수작 수준은 아님..,6,0,0,2012-10-03 07:44:00,0
56,상현(swco****),다시한번 가슴의 열정에 대해 생각하게 되었습니다.. 늦게라도 소중한 영화 알게 되어 감사드립니다.,10,0,0,2012-10-03 00:19:00,0
57,gpdu****,진짜 감수성을 자극한다,10,0,0,2012-10-02 14:46:00,0
58,감기조심(kbc2****),이게 대박아니면 뭘까요,10,0,0,2012-10-02 14:46:00,0
59,ange****,감동..ㅠㅠ,10,0,0,2012-10-02 14:43:00,0
60,bijo****,감동적이에요ㅠ,10,0,0,2012-10-02 14:39:00,0
61,보라(jamo****),짱이다,10,0,0,2012-10-02 14:33:00,0
62,yyc9****,'내가 그걸 잊고있었더라...내가 야구를 얼마나 좋아했었는지.'명대사!,10,0,0,2012-10-02 14:32:00,0
63,kore****,티비로 봤는데 와 감동이다 감동ㅜㅜ,10,0,0,2012-10-02 14:32:00,0
64,jamp****,잔잔하고 감동적이네요,8,0,0,2012-10-02 14:30:00,0
65,mija****,ㅠ개굿,10,0,0,2012-10-02 14:30:00,0
66,dlst****,이게 평점 10점이지 왜ㅡㅡ와 진짜 감동적임 ㅠㅠ이길수 있던걸...ㅠㅠ 안타깝다,10,0,0,2012-10-02 14:28:00,0
67,koo3****,감동,10,0,0,2012-10-02 14:28:00,0
68,soug****,너무 감동적이에오,10,0,0,2012-10-02 14:27:00,0
69,daaa****,말이필요읍다ㅜㅠ,10,0,0,2012-10-02 14:26:00,0
70,ls__****,감동이ㅜㅜㅜ,10,0,0,2012-10-02 14:26:00,0
71,bagh****,가슴 따뜻해지는 휴먼드라마,10,0,0,2012-10-02 14:26:00,0
72,qkr159(djkk****),대박이다 .. 추석날 특집영화로 봣는데  감동적,10,0,0,2012-10-02 14:25:00,0
73,mmau****,너무 감동적이예요 ㅠㅠ,10,0,0,2012-10-02 14:24:00,0
74,erfegeterwer(ghkd****),mftr**** 분수부터 다시배워라 2에서 3을 나눠?장난해? ㅋㅋ,10,0,0,2012-10-02 14:24:00,0
75,1025****,추석특선영화로봤는데 진짜감동적ㅠㅠㅠㅠ♥모래만안튀겼으면!!!!,10,0,0,2012-10-02 14:22:00,0
76,soob****,너무 감동적이다 ㅠㅠ,10,0,0,2012-10-02 14:20:00,0
77,ga01****,와 진짜 감동적이고...쩐다근데 거침없이 하이킥에 민호나오네,10,0,0,2012-10-02 14:19:00,0
78,kara****,감동......ㅠㅜ,10,0,0,2012-10-02 14:18:00,0
